,features
LAMB3_ITGA6,0.0
AFDN_EPHB6,0.0
AFDN_NRXN3,0.0
AFDN_NECTIN3,0.0
CCL8_CCR3,0.0
CCL8_ACKR2,0.0
COL4A6_ITGB1,0.0
CALM3_KCNQ1,0.0
LTA_TNFRSF1A,0.0
COL4A1_CD93,0.0
INHBE_ACVR2A,0.0
BMP6_ACVR2A,0.0
GDF11_ACVR2A,0.0
FLT3LG_FLT3,0.0
ADCYAP1_RAMP3,0.0
CALCA_RAMP3,0.0
ADM_RAMP3,0.0
VIP_RAMP3,0.0
ADM2_RAMP3,0.0
PTHLH_RAMP3,0.0
POMC_RAMP3,0.0
RLN2_RAMP3,0.0
INSL3_RAMP3,0.0
CD55_ADGRE5,0.0
CALM2_PDE1B,0.0
CALM1_PDE1B,0.0
CALM3_PDE1B,0.0
APOA2_LRP1,0.0
BMP2_ACVR2A,0.0
INHBB_ACVR2A,0.0
GPC3_LRP1,0.0
GDF1_ACVR2A,0.0
HLA-E_KLRK1,0.0
MICB_KLRK1,0.0
MICA_KLRK1,0.0
ULBP2_KLRK1,0.0
ULBP3_KLRK1,0.0
RAET1E_KLRK1,0.0
RAET1G_KLRK1,0.0
GHRL_GHSR,0.0
CORT_GHSR,0.0
INHBC_ACVR2A,0.0
GDF9_ACVR2A,0.0
BMP7_ACVR2A,0.0
NODAL_ACVR2A,0.0
GDF7_ACVR2A,0.0
LEFTY1_ACVR2A,0.0
INHA_ACVR2A,0.0
INHBA_ACVR2A,0.0
AGRN_LRP1,0.0
PDGFB_LRP1,0.0
CALM3_SELL,0.0
F8_LRP1,0.0
APP_LRP1,0.0
LPL_LRP1,0.0
LIPC_LRP1,0.0
PF4_LRP1,0.0
PSAP_LRP1,0.0
WNT3A_LRP1,0.0
NODAL_ACVR1C,0.0
INHBB_ACVR1C,0.0
APP_PTGER2,0.0
F12_CD93,0.0
COL4A3_CD93,0.0
COL4A6_CD93,0.0
COL4A5_CD93,0.0
KNG1_CD93,0.0
S100A4_EGFR,0.0
COL4A4_CD93,0.0
COL1A2_CD93,0.0
HPX_LRP1,0.0
VWF_LRP1,0.0
A2M_LRP1,0.0
C4BPA_LRP1,0.0
APOC2_LRP1,0.0
SERPINA1_LRP1,0.0
SERPINE2_LRP1,0.0
HSPG2_LRP1,0.0
MMP13_LRP1,0.0
APOE_LRP1,0.0
PCSK9_LRP1,0.0
MMP9_LRP1,0.0
HSP90B1_LRP1,0.0
MDK_LRP1,0.0
PLAU_LRP1,0.0
LRPAP1_LRP1,0.0
C3_LRP1,0.0
THBS1_LRP1,0.0
HSP90AA1_LRP1,0.0
CALR_LRP1,0.0
C1QB_LRP1,0.0
CFH_SELL,0.0
PODXL_SELL,0.0
TNF_TNFRSF1A,0.0
LAMA2_ITGB4,0.0
LAMB2_ITGB4,0.0
LAMA5_ITGB4,0.0
LAMC1_ITGB4,0.0
LAMA1_ITGB4,0.0
LAMB3_ITGB4,0.0
LAMB1_ITGB4,0.0
LAMC2_ITGB4,0.0
TGFB1_TGFBR3,0.0
FGF1_TGFBR3,0.0
TGFB3_TGFBR3,0.0
INHA_TGFBR3,0.0
TGFB2_TGFBR3,0.0
INHBA_TGFBR3,0.0
IL2_IL2RB,0.0
IL15_IL2RB,0.0
KNG1_BDKRB1,0.0
PROC_PROCR,0.0
LAMC3_ITGB4,0.0
LAMA3_ITGB4,0.0
PROK2_PROKR2,0.0
CD99_PILRA,0.0
TNFSF13_TNFRSF1A,0.0
LTB_TNFRSF1A,0.0
EFNA3_EPHA8,0.0
EFNA1_EPHA8,0.0
EFNA2_EPHA8,0.0
EFNA5_EPHA8,0.0
EFNA4_EPHA8,0.0
IL2_NGFR,0.0
RTN4_NGFR,0.0
NTF4_NGFR,0.0
NTF3_NGFR,0.0
OMG_NGFR,0.0
APP_NGFR,0.0
BDNF_NGFR,0.0
NGF_NGFR,0.0
NTS_NGFR,0.0
BDNF_DRD4,0.0
PF4_PROCR,0.0
FAM3C_GLRA2,0.0
CALM1_SELL,0.0
GNRH1_GNRHR,0.0
IL10_IL10RA,0.0
S100A8_CD69,0.0
TNFSF14_LTBR,0.0
LTA_LTBR,0.0
LTB_LTBR,0.0
WNT7B_FZD10,0.0
CLEC2D_KLRB1,0.0
IL33_IL1RL1,0.0
GNAI2_OPRD1,0.0
POMC_OPRD1,0.0
CXCL13_OPRD1,0.0
PENK_OPRD1,0.0
CALM2_SELL,0.0
PODXL2_SELL,0.0
VCAN_SELL,0.0
CD34_SELL,0.0
MUC7_SELL,0.0
HBEGF_CD82,0.0
GNRH2_GNRHR,0.0
IL16_KCND1,0.0
C1QB_C1QBP,0.0
GHRL_MLNR,0.0
TNFSF10_TNFRSF10A,0.0
COL2A1_TNFRSF10A,0.0
RIMS1_SLC17A7,0.0
APP_APLP1,0.0
BTLA_CD79A,0.0
CXCL8_CD79A,0.0
FN1_CD79A,0.0
KITLG_EPOR,0.0
EPO_EPOR,0.0
LAMA1_ITGB8,0.0
VTN_ITGB8,0.0
COL4A1_ITGB8,0.0
FN1_ITGB8,0.0
APP_TSPAN12,0.0
ADAM10_TSPAN12,0.0
PLG_PLGRKT,0.0
BCAN_EGFR,0.0
AREG_EGFR,0.0
ZP3_EGFR,0.0
ADIPOQ_ADIPOR2,0.0
LTA_TNFRSF14,0.0
FASLG_FAS,0.0
TNF_FAS,0.0
CALM1_FAS,0.0
PIGA_PIGR,0.0
ICAM2_ITGAL,0.0
PLAU_IGF2R,0.0
IGF2_IGF2R,0.0
TNF_PTPRS,0.0
CD55_CR1,0.0
HSPG2_PTPRS,0.0
RARRES2_CCRL2,0.0
CORT_SSTR2,0.0
CCL25_CCR9,0.0
AGT_GRM7,0.0
CXCL12_GRM7,0.0
APLN_GRM7,0.0
CCL25_GRM7,0.0
TNFSF14_TNFRSF14,0.0
VEGFA_RET,0.0
ARTN_RET,0.0
GDNF_RET,0.0
IFNA5_IFNAR2,0.0
IFNB1_IFNAR2,0.0
IFNE_IFNAR2,0.0
MDK_SDC3,0.0
COL5A1_SDC3,0.0
SHBG_SLC37A1,0.0
CALM1_KCNQ5,0.0
LAMA2_RPSA,0.0
LAMB2_RPSA,0.0
F8_ASGR2,0.0
HP_ASGR2,0.0
EDN2_KEL,0.0
EDN1_KEL,0.0
NCAM1_GFRA1,0.0
GDNF_GFRA1,0.0
ARTN_GFRA1,0.0
PTPN6_CLEC12A,0.0
POMC_GRM7,0.0
SAA1_GRM7,0.0
CXCL2_GRM7,0.0
B2M_TFRC,0.0
SEMA3B_NRP2,0.0
VEGFA_NRP2,0.0
PGF_NRP2,0.0
CXCL2_DPP4,0.0
ADCYAP1_DPP4,0.0
CXCL12_DPP4,0.0
VIP_DPP4,0.0
ADA_DPP4,0.0
HRAS_TLR9,0.0
NTF3_NTRK3,0.0
PPY_NPY1R,0.0
B2M_CD247,0.0
COL4A6_CD47,0.0
LGALS9_CD47,0.0
COL4A4_CD47,0.0
COL4A3_CD47,0.0
THBS2_CD47,0.0
VEGFC_NRP2,0.0
TF_TFRC,0.0
